,Low,High,Open,Close,Volume_BTC,,,,,,
1.70407E+12,42703.45,42714.12,42696.5,42696.5,11.96286,1.70407E+12,510848.3672,547,7.1591,305719.1113,0
1.70407E+12,42696.79,42707.96,42680.89,42690.48,19.47824,1.70407E+12,831568.5759,1008,8.22155,351002.7404,0
1.70407E+12,42690,42700.39,42662.89,42682.96,19.02813,1.70407E+12,812197.5934,1487,7.66844,327338.1516,0
1.70407E+12,42680.57,42682,42657.4,42663.54,13.04556,1.70407E+12,556613.9048,892,5.47577,233637.3881,0
1.70407E+12,42663.11,42672.28,42658.26,42667.99,12.85305,1.70407E+12,548370.3602,616,6.80793,290470.0254,0
1.70407E+12,42668,42670,42645.12,42652.88,12.89424,1.70407E+12,550002.8031,863,5.21443,222424.9554,0
1.70407E+12,42651.15,42681.55,42639.6,42646.45,33.51813,1.70407E+12,1429869.455,1924,15.80023,674102.047,0
1.70407E+12,42646.48,42652.26,42629.98,42636.16,7.97241,1.70407E+12,339941.3042,681,3.70654,158048.7256,0
1.70407E+12,42636.31,42641.81,42623.01,42628.81,10.52473,1.70407E+12,448724.6724,593,5.8689,250240.6152,0
1.70407E+12,42628.93,42643.58,42616.02,42621.54,14.70056,1.70407E+12,626658.2879,928,5.406,230455.8377,0
1.70407E+12,42620.76,42628.18,42594.12,42601.33,22.4215,1.70407E+12,955348.93,1454,9.77509,416526.8323,0
1.70407E+12,42601.04,42620,42584.05,42616.15,17.15341,1.70407E+12,730759.4777,1108,7.81854,333119.0394,0
1.70407E+12,42616.15,42622.82,42577.95,42602.39,29.50194,1.70407E+12,1256817.976,1679,11.46065,488275.0197,0
1.70407E+12,42602.39,42619.6,42594.51,42596.94,13.15759,1.70407E+12,560633.5806,954,6.0044,255856.3134,0
1.70407E+12,42596.93,42614.48,42589.05,42601.68,13.21956,1.70407E+12,563180.8068,759,6.65626,283569.4007,0
1.70407E+12,42601.57,42606.32,42585.46,42589.53,9.55836,1.70407E+12,407122.6419,651,4.51245,192207.0564,0
1.70408E+12,42588.27,42600,42585.81,42594.72,5.5469,1.70408E+12,236259.259,423,3.04023,129498.4873,0
1.70408E+12,42594.72,42611.23,42594.72,42600.93,10.98927,1.70408E+12,468171.5622,574,5.36596,228609.449,0
1.70408E+12,42600.98,42603.24,42589.05,42590,8.00928,1.70408E+12,341153.4367,494,3.03975,129483.8987,0
1.70408E+12,42591.39,42597.55,42588.41,42591.7,3.89594,1.70408E+12,165940.8995,217,2.09425,89205.09233,0
1.70408E+12,42590.13,42604.83,42579.95,42598.54,11.6401,1.70408E+12,495770.324,660,7.72998,329240.3891,0
1.70408E+12,42597.34,42604.24,42590.23,42595.24,7.6626,1.70408E+12,326396.8838,427,3.65257,155591.5756,0
1.70408E+12,42596.57,42606.34,42596.57,42601.39,4.2695,1.70408E+12,181885.4478,327,2.39463,102017.4005,0
1.70408E+12,42600.01,42601.39,42566.37,42577.64,20.34282,1.70408E+12,866280.6418,1361,5.53634,235784.5445,0
1.70408E+12,42578.31,42588.13,42575.1,42583.33,13.41603,1.70408E+12,571284.2993,659,7.13081,303647.933,0
1.70408E+12,42583.88,42587.65,42573.01,42586.93,6.19049,1.70408E+12,263592.3262,491,3.33008,141798.9607,0
1.70408E+12,42584.2,42605.62,42579.59,42603.49,11.12221,1.70408E+12,473725.8204,589,7.51035,319889.8683,0
1.70408E+12,42600.54,42604.29,42592.36,42598.26,7.87535,1.70408E+12,335477.9792,378,1.84762,78708.38148,0
1.70408E+12,42598.55,42621.31,42584.65,42621.31,16.74544,1.70408E+12,713337.2289,952,10.92263,465314.6347,0
1.70408E+12,42619.6,42619.73,42600,42602.84,9.23206,1.70408E+12,393365.6596,586,1.46369,62362.54318,0
1.70408E+12,42600.93,42603.82,42587.84,42596.92,8.93681,1.70408E+12,380662.6152,577,4.44552,189360.256,0
1.70408E+12,42595.88,42599.74,42586.79,42594.54,9.67665,1.70408E+12,412156.8776,407,4.61377,196521.0094,0
1.70408E+12,42594.92,42595.19,42589.29,42594.19,4.05158,1.70408E+12,172565.7263,199,1.93472,82405.3196,0
1.70408E+12,42591.97,42601.06,42590.63,42597.88,2.673,1.70408E+12,113861.663,273,1.1161,47542.53165,0
1.70408E+12,42597.87,42600.52,42590.06,42593.77,2.46917,1.70408E+12,105174.017,282,0.72273,30787.08581,0
1.70408E+12,42593.37,42598.26,42590,42593.88,5.74274,1.70408E+12,244610.9573,423,3.17903,135416.4189,0
1.70408E+12,42594,42627.66,42578.57,42627.19,27.84607,1.70408E+12,1186259.471,1716,14.68909,625803.9066,0
1.70408E+12,42624.24,42640.96,42622.35,42638.12,9.77199,1.70408E+12,416600.7688,720,6.46639,275686.5657,0
1.70408E+12,42638.12,42661.02,42632,42655.21,14.25856,1.70408E+12,608120.5561,975,6.98942,298101.2994,0
1.70408E+12,42655.5,42659.9,42648.7,42655.88,4.89908,1.70408E+12,208965.2522,492,2.36377,100828.9631,0
1.70408E+12,42657.12,42668.47,42654.71,42655.6,6.98919,1.70408E+12,298163.8183,322,4.2563,181580.0534,0
1.70408E+12,42657.93,42667.56,42651.54,42660.69,7.99551,1.70408E+12,341072.7385,461,2.86062,122036.427,0
1.70408E+12,42658.51,42666.99,42653.16,42665.55,4.97133,1.70408E+12,212076.7503,363,3.25573,138893.7916,0
1.70408E+12,42665.55,42667,42624.61,42646.02,14.82061,1.70408E+12,632020.3071,1132,6.78004,289128.9449,0
1.70408E+12,42644.26,42658.26,42641.76,42655.21,9.7792,1.70408E+12,417107.437,621,4.90274,209120.3553,0
1.70408E+12,42654.46,42658.45,42625.85,42633.78,13.2908,1.70408E+12,566736.004,801,4.13659,176401.5748,0
1.70408E+12,42634.16,42637.52,42614.42,42620,6.18433,1.70408E+12,263607.5457,557,2.59162,110470.8994,0
1.70408E+12,42620.33,42621.53,42586.77,42592.48,19.61154,1.70408E+12,835404.4881,1114,7.32412,311979.6451,0
1.70408E+12,42591.07,42610,42587.01,42593.54,21.62095,1.70408E+12,921007.3625,972,9.51028,405125.241,0
1.70408E+12,42593.88,42603.9,42590,42594.71,11.64149,1.70408E+12,495884.3715,585,6.66326,283838.8142,0
