,Open,High,Low,Close,Volume_BTC,,,,,,
1.67856E+12,20176,20176,20176,20176,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20176,20176,20176,20176,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20176,20176,20176,20176,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20176,20176,20176,20176,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20176,20176,20176,20176,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20498.99,20729.55,20498.99,20729.55,0.34249,1.67856E+12,7054.127231,13,0.34249,7054.127231,0
1.67856E+12,20729.55,20729.55,20729.55,20729.55,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20729.55,20729.55,20729.55,20729.55,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20729.55,20729.55,20729.55,20729.55,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20729.55,20729.55,20729.55,20729.55,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20729.55,20729.55,20729.55,20729.55,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20729.55,20729.55,20729.55,20729.55,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0.00098,1.67856E+12,19.9877076,1,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20395.62,20395.62,20395.62,20395.62,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20495,20495,20495,20495,0.00058,1.67856E+12,11.8871,1,0,0,0
1.67856E+12,20495,20495,20495,20495,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20495,20495,20495,20495,0,1.67856E+12,0,0,0,0,0
